AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,-0.103,0.124,0.095,-0.014,-0.115,0.1,-0.031,-0.235,-0.204,0.321,0.116,0.258,-2.5860000000000003,0.7170000000000001,-0.233,-0.665,0.523,-0.87
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,86.7,255.8,325.4,414.5,408.3,125.7,93.3,101.6,131.7,166.7,195.0,74.0,74.4,74.3,74.3,74.2,74.2,74.1
Revenue,10.1,17.4,15.7,11.3,7.6,10.0,5.0,,,17.6,9.4,15.9,,51.6,20.4,6.0,47.9,
Shares_Diluted,28.004,30.053,28.913,28.766,29.832,31.088,31.927,33.066,33.181,33.402,34.697,36.666,36.711,37.135,36.572,36.533,33.139,30.405
Total_Assets,808.0,1002.3,1074.1,1084.8,920.9,803.0,879.6,1030.1,883.3,1212.4,945.3,785.8,2358.3,4000.1,4099.5,4063.9,4673.2,4099.5
Total_Liabilities,592.9,785.0,859.9,871.1,702.8,578.9,654.9,801.3,643.9,966.1,708.4,546.8,2125.5,3672.9,3791.4,3739.6,4316.7,3825.0
