AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,219.8,197.0,187.5,170.5,168.6,146.8,140.7,144.7
Current_Liabilities,76.6,64.2,56.0,53.9,59.0,44.0,47.5,53.7
Diluted_EPS,0.338,0.413,0.304,0.262,0.254,0.167,0.234,0.268
Goodwill_Intangibles,3.4,3.4,3.5,3.6,3.6,3.7,3.7,3.8
Inventory,85.4,72.9,73.6,80.6,77.0,74.6,77.6,79.2
LT_Debt,6.3,6.3,6.3,0.0,0.0,0.0,0.0,0.0
Revenue,125.6,137.5,122.6,113.5,119.4,113.8,112.3,112.9
Shares_Diluted,52.7504,52.8714,52.6679,52.7221,52.7472,52.3697,52.5256,52.6275
Total_Assets,429.8,395.6,371.4,352.2,342.3,319.5,308.0,314.0
Total_Liabilities,107.1,89.3,81.3,72.6,77.7,60.2,58.6,64.4
