AAII_QTR_DATA,06/30/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,09/30/2016
Current_Assets,20.1,26.2,38.0,56.8,30.9,57.5,106.6,114.3,121.8,117.9,146.7
Current_Liabilities,12.7,12.8,14.3,14.0,17.8,14.3,24.3,20.5,24.9,24.0,38.0
Diluted_EPS,-2.547,-4.063,-6.403,14.034,-15.164,-33.897,-8.107,-10.021,-0.961,-56.76600000000001,0.19
Goodwill_Intangibles,,,,0.0,,0.0,0.7,0.7,0.9,0.9,2.3
Inventory,4.3,8.2,29.2,25.9,14.4,20.0,28.8,30.1,30.3,32.1,38.5
LT_Debt,4.8,7.3,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,7.9,22.5,6.2,23.6,27.8,22.4,55.8,76.1,52.1,30.5,37.9
Shares_Diluted,4.3576,3.1492,2.7314,2.0526,1.9979,1.6044,1.391,1.2864,0.9399,0.9366,0.9677
Total_Assets,28.1,35.3,48.1,56.8,30.9,57.5,120.8,129.5,144.3,140.5,207.9
Total_Liabilities,17.5,20.1,21.5,14.0,17.8,14.3,24.3,20.5,24.9,24.0,38.2
