AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
Current_Assets,393.4,425.3,458.5,490.7,512.6,526.7,,,0.7,0.8,0.0,0.0
Current_Liabilities,12.5,13.6,14.3,14.8,12.8,6.4,,,0.4,0.1,0.1,0.0
Diluted_EPS,-0.161,-0.153,-0.148,-0.125,-0.114,-0.119,-0.043,-0.022,-0.006999999999999999,0.054000000000000006,0.0,0.0
Goodwill_Intangibles,4.0,4.2,4.4,,,,,,,0.0,0.0,0.0
Inventory,1.9,1.9,2.1,3.3,1.7,1.5,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,1.5,1.1,2.9,3.5,2.6,0.3,0.7,1.9,,,,
Shares_Diluted,216.8861,216.0172,214.4925,212.5879,211.5515,163.9556,,,31.0458,22.61,22.61,22.61
Total_Assets,415.6,447.2,479.2,506.3,521.3,535.5,,,243.9,244.0,0.1,0.0
Total_Liabilities,18.8,20.7,22.8,24.1,19.1,13.6,,,0.5,0.4,0.1,0.0
