AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,09/30/2020,06/30/2020,03/31/2020
Current_Assets,1876.4,1451.3,1634.3,1601.4,1627.9,1367.2,1452.9,1479.8,417.6,,,
Current_Liabilities,972.6,535.1,658.2,605.1,610.5,357.0,422.8,412.3,372.1,,,
Diluted_EPS,0.038,-0.137,-0.075,-0.051,0.003,-0.143,-0.092,-0.792,-0.039,-0.031,-0.021,-0.042
Goodwill_Intangibles,154.9,109.2,102.1,104.0,95.2,96.9,99.7,100.2,103.1,,,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,37.2,38.5,39.7,40.9,42.2,43.4,44.6,45.9,99.4,0.0,0.0,0.0
Revenue,1136.1,689.8,694.9,670.1,653.4,462.9,458.6,499.0,413.1,312.7,293.6,291.0
Shares_Diluted,426.586,412.147,411.065,407.339,424.065,396.67,391.229,377.445,384.0216,,,
Total_Assets,2170.3,1697.5,1870.4,1840.5,1855.2,1586.3,1685.1,1701.7,574.0,,,
Total_Liabilities,1087.8,656.2,784.6,736.7,743.4,494.4,557.4,551.3,562.7,,,
