AAII_QTR_DATA,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
Current_Assets,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.6
Current_Liabilities,3.5,3.5,3.5,3.6,3.6,3.8,5.0,5.7
Diluted_EPS,-0.189,-0.389,-0.137,-0.257,-0.116,-0.158,-0.034,-0.133
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,0.6161,0.562,0.5591,0.5271,0.507,0.3225,0.2857,0.2581
Total_Assets,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.6
Total_Liabilities,1.9,2.0,2.0,2.0,2.0,2.3,3.5,4.1
