AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,45.2,30.3,34.9,32.6,32.5,32.1,32.7,28.1,30.9,32.9,34.8,31.4
Current_Liabilities,10.3,11.2,12.3,10.2,10.1,9.1,12.0,14.2,11.6,10.0,10.2,7.7
Diluted_EPS,1.027,-0.634,-0.181,-0.122,-0.506,-0.241,0.102,-0.663,-1.065,-0.586,-0.132,7.307
Goodwill_Intangibles,11.9,12.4,12.8,13.3,13.8,14.3,14.8,15.3,15.8,16.2,16.7,17.2
Inventory,2.3,2.6,2.7,2.5,2.0,1.2,1.4,1.6,2.1,1.9,2.4,1.7
LT_Debt,42.6,42.8,42.9,42.9,42.8,41.5,38.8,35.3,38.5,38.3,38.2,38.0
Revenue,21.7,11.2,13.8,12.5,10.0,14.5,17.3,12.9,10.9,12.9,15.1,11.1
Shares_Diluted,7.3631,5.7554,5.3899,5.0687,5.0308,4.9807,4.8984,4.7335,4.7327,4.7161,9.4709,4.7737
Total_Assets,62.1,45.6,50.9,49.1,49.1,49.0,50.3,46.7,50.2,52.3,54.1,51.2
Total_Liabilities,56.2,57.5,58.8,56.7,56.6,54.4,54.8,53.2,53.9,51.7,51.4,48.2
