AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,211.6,186.8,185.2,252.5,270.9,262.3,250.7,223.7
Current_Liabilities,114.9,140.9,122.4,174.1,179.1,177.9,171.9,145.5
Diluted_EPS,-0.306,-0.339,-0.323,-0.39,0.105,0.092,0.118,0.095
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,69.6,9.4,9.7,10.1,10.4,10.7,11.0,7.0
Revenue,173.1,181.0,225.8,258.6,269.1,285.9,295.3,285.1
Shares_Diluted,31.787,31.663,31.618,31.552,31.662,31.489,31.563,31.582
Total_Assets,396.5,376.3,370.4,451.7,471.1,454.2,444.3,417.1
Total_Liabilities,224.9,194.7,178.7,249.7,257.5,243.7,236.7,213.0
