AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,130.3,98.2,76.2,42.8,20.4,20.9,37.5,31.7,50.0,394.0,226.0,468.0,0.2
Current_Liabilities,27.5,25.1,21.9,30.0,16.5,12.1,12.7,33.7,56.4,70.6,101.0,98.5,3.7
Diluted_EPS,1.4,0.358,0.048,0.23,0.026,-2.411,-2.157,-97.055,-1.298,-0.612,0.294,0.08199999999999999,1.758
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,3.3,3.4,3.9,3.6,3.7,3.8,4.2,4.0,15.2,6.3,5.9,,
LT_Debt,657.0,657.0,657.0,624.0,580.0,493.0,468.0,396.0,235.0,0.0,0.0,0.0,0.0
Revenue,34.5,35.6,34.1,35.3,40.2,73.0,40.9,43.8,34.0,24.1,33.8,26.7,25.4
Shares_Diluted,3.746,32.588,3.746,53.746,109.855,3.746,3.746,3.7464,3.7464,3.7464,3.7464,7.7011,10.9235
Total_Assets,1865.9,1853.7,1842.6,1799.6,1756.4,1642.2,1588.5,1500.9,2661.8,2444.7,1868.0,1857.3,382.5
Total_Liabilities,2350.1,2359.9,2173.6,2046.1,1683.6,1571.9,1518.0,1853.9,2217.6,1995.6,1640.0,2071.0,16.9
