AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,03/31/2019
Current_Assets,176.5,206.4,253.3,281.9,316.0,339.7,361.3,383.9,107.3,117.4,,
Current_Liabilities,21.6,18.6,37.9,24.2,20.7,15.5,12.3,13.5,8.9,7.7,,
Diluted_EPS,-0.692,-0.685,-0.914,-0.723,-0.603,-0.497,-0.407,-0.383,-0.168,-0.135,-0.345,-0.036000000000000004
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,,0.0,,,,0.0,0.0,0.0,0.0,0.2,0.2
Shares_Diluted,64.4675,63.9931,63.3618,62.9624,62.3447,62.1937,61.9313,61.6595,69.1735,69.1735,,
Total_Assets,200.0,231.1,286.6,316.5,327.5,351.3,370.8,393.7,117.8,128.7,,
Total_Liabilities,41.9,39.4,61.3,49.2,25.0,20.9,17.8,19.8,16.0,15.6,,
