AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,6.608,6.549,5.976,8.649,4.876,3.576,1.436,-1.138,-4.312,15.880999999999998,3.5210000000000004,4.037,3.565,2.819,3.764,3.4330000000000003
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,4902.0,4486.0,4996.0,4994.0,5391.0,5505.0,4744.0,4734.0,4324.0,3720.0,4725.0,4771.0,4811.0,5125.0,4610.0,4240.0
Revenue,3511.0,3657.0,3762.0,2906.0,3420.0,3355.0,3189.0,3013.0,2730.0,3026.0,3104.0,3351.0,3282.0,3153.0,3208.0,3316.0
Shares_Diluted,114.4,116.2,117.3,119.2,121.2,122.2,123.3,123.0,125.0,128.2,131.5,134.5,138.0,140.1,143.2,146.5
Total_Assets,158497.0,167525.0,175979.0,170726.0,171703.0,165737.0,165883.0,158687.0,154902.0,145682.0,151828.0,149513.0,148678.0,144403.0,137216.0,145191.0
Total_Liabilities,154193.0,162515.0,170294.0,165019.0,166017.0,160235.0,160016.0,152620.0,148402.0,138989.0,146099.0,143516.0,142648.0,138560.0,131628.0,139573.0
