AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,22144.0,20723.0,19176.0,22167.0,20545.0,19032.0,18740.0,21276.0,18905.0,18684.0,18249.0,18990.0,17345.0,16476.0,15317.0,16745.0,15919.0,14372.0,13348.0
Current_Liabilities,20595.0,20306.0,18688.0,21077.0,19189.0,19073.0,17510.0,18927.0,16823.0,17433.0,16870.0,17383.0,17111.0,15571.0,14851.0,15481.0,14537.0,13296.0,12643.0
Diluted_EPS,5.07,3.144,1.919,2.333,4.727,3.9,-3.993,1.662,4.003,2.271,1.178,1.704,3.292,1.58,0.928,1.141,2.704,1.409,0.599
Goodwill_Intangibles,8744.0,8739.0,8435.0,8786.0,9026.0,8926.0,9076.0,9223.0,9181.0,9306.0,9127.0,9055.0,9039.0,8948.0,8945.0,9171.0,9296.0,9320.0,9542.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,10601.0,9853.0,10149.0,9703.0,9727.0,8274.0,8301.0,7327.0,7327.0,7346.0,7323.0,7307.0,6301.0,6703.0,6202.0,6777.0,6040.0,6162.0,5822.0
Revenue,3871.0,3130.0,2696.0,2983.0,3670.0,3080.0,2702.0,2886.0,3525.0,2965.0,2385.0,2497.0,3219.0,2885.0,2379.0,2606.0,3143.0,2770.0,2349.0
Shares_Diluted,207.1,209.0,212.6,214.7,216.4,221.3,225.4,228.0,228.1,230.7,233.5,233.6,234.5,236.7,239.1,242.8,243.7,244.9,245.6
Total_Assets,34253.0,32704.0,31223.0,34720.0,33491.0,31917.0,31816.0,34580.0,32175.0,32114.0,31359.0,31995.0,30282.0,29405.0,28167.0,29807.0,29135.0,26422.0,25602.0
Total_Liabilities,34323.0,33233.0,32006.0,34036.0,32314.0,30856.0,29607.0,30118.0,27915.0,28619.0,27817.0,28394.0,27113.0,26030.0,24675.0,25971.0,24360.0,22271.0,21340.0
