AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1658.0,1908.0,1961.0,1971.0,2791.0,2504.0,2687.0,2785.0
Current_Liabilities,1710.0,2025.0,1855.0,1921.0,2262.0,2374.0,2201.0,2207.0
Diluted_EPS,-1.021,-11.852,-7.894,-0.451,-0.955,-0.125,-1.005,0.21
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,477.0,452.0,502.0,475.0,453.0,438.0,401.0,362.0
LT_Debt,8523.0,8336.0,8555.0,8393.0,8157.0,8094.0,8093.0,8053.0
Revenue,752.0,1344.0,1625.0,1438.0,1598.0,1654.0,1703.0,1976.0
Shares_Diluted,378.0,378.0,377.0,377.0,377.0,376.0,379.0,385.0
Total_Assets,12999.0,13391.0,18107.0,21405.0,21806.0,21751.0,21582.0,21870.0
Total_Liabilities,14634.0,14637.0,14852.0,15104.0,15255.0,14762.0,14452.0,14258.0
