AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,1008.4,871.3,953.0,584.8,803.9,643.4,622.5,584.4
Current_Liabilities,1760.7,1197.5,795.9,939.0,887.1,1093.3,850.5,569.5
Diluted_EPS,0.024,1.054,0.114,0.667,-0.157,0.41,0.284,0.389
Goodwill_Intangibles,1661.0,1659.0,1357.0,1349.6,1346.8,1353.1,1257.4,1266.2
Inventory,134.4,130.5,102.4,101.9,85.4,75.6,73.7,72.2
LT_Debt,7186.9,5514.5,4978.2,4930.7,5069.7,4647.3,5097.1,4730.8
Revenue,795.5,617.3,471.5,430.8,582.8,549.9,458.4,430.8
Shares_Diluted,605.1856,597.4396,590.6957,534.2531,525.8283,520.0648,501.0566,497.7281
Total_Assets,19164.2,16578.8,14718.4,14026.4,13666.1,13679.7,13312.9,12580.0
Total_Liabilities,12549.7,10055.1,8778.3,8961.4,9026.5,8821.6,9036.8,8382.6
