AAII_QTR_DATA,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
Current_Assets,1398.8,1137.9,775.6,,,,,,
Current_Liabilities,797.9,310.8,257.9,,,,,,
Diluted_EPS,0.852,1.995,1.41,0.693,-0.509,-0.415,-0.296,0.134,-0.865
Goodwill_Intangibles,1.2,1.2,1.1,,,,,,
Inventory,477.7,377.1,364.3,,,,,,
LT_Debt,66.1,405.6,399.7,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,826.3,783.8,612.3,495.4,333.6,292.5,271.1,389.7,353.9
Shares_Diluted,112.0748,112.0741,112.0741,,,,,,
Total_Assets,1955.9,1695.9,1316.9,,,,,,
Total_Liabilities,1294.5,1116.8,1035.8,,,,,,
