AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,8810.9,9755.9,10807.0,10353.4,9972.7,9495.8,8452.4,7709.5,7920.0,7327.6,7640.0,6792.3,7804.6,7278.1,7713.9,6892.2,6639.4,7068.7,6875.0
Current_Liabilities,7612.0,7219.0,8891.3,8777.0,8143.6,6850.9,6256.5,5933.9,5488.7,5621.0,5738.0,5789.8,6233.5,5486.1,6769.2,5771.3,5380.3,5481.4,6586.2
Diluted_EPS,0.087,0.244,0.259,0.237,0.193,0.461,0.211,0.154,0.127,0.153,0.103,0.109,0.066,0.107,0.098,0.045,0.034,0.09,0.1
Goodwill_Intangibles,2341.8,2365.7,2390.2,2413.3,2443.7,2467.8,2510.1,2541.7,2614.1,4378.1,2497.7,2587.8,2808.2,2830.8,2878.6,2867.7,2799.8,2813.2,2762.9
Inventory,2782.5,3015.0,3289.8,3074.6,2799.8,2379.0,2527.9,2464.2,2189.3,2029.4,2058.4,1698.8,1802.5,1632.2,1758.4,1690.0,1595.2,1637.4,1611.2
LT_Debt,4294.5,4694.3,4336.7,4553.4,5152.3,5395.6,6057.9,5063.6,5642.4,5121.3,5532.4,5355.0,6078.6,6392.2,5301.7,5207.0,4724.9,5053.8,4104.9
Revenue,4251.3,5762.5,6126.6,5211.1,4689.8,5617.0,4893.6,4122.6,3906.7,4868.3,4028.5,3607.2,3507.8,4180.3,4268.5,3263.0,3124.4,3999.0,3676.6
Shares_Diluted,2168.483,2093.894,2186.939,2187.554,2170.521,2175.868,2185.358,2181.317,2181.596,2151.251,2140.558,2136.885,2140.495,2140.055,2130.758,2128.399,2127.78,2127.972,2127.87
Total_Assets,21938.3,22965.6,23964.7,23160.8,22610.9,21856.9,21120.4,19873.1,19823.7,19085.9,19016.7,18735.2,20597.2,20056.3,20441.7,19231.7,18470.3,18705.3,18314.1
Total_Liabilities,13147.5,13179.8,14598.7,14617.3,14543.7,13409.6,13481.6,12110.6,12310.6,11936.5,12296.5,12013.5,13260.6,12815.4,13124.9,12064.8,11165.3,11585.3,11571.3
