AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,5.1,0.3,0.5,0.4,0.1,0.1,0.1,0.1
Current_Liabilities,2.5,2.8,2.9,0.8,0.9,1.0,1.1,1.8
Diluted_EPS,-0.598,-0.467,-0.225,-0.197,-0.125,-111.383,-0.158,-0.247
Goodwill_Intangibles,7.0,5.0,4.8,1.5,1.5,1.3,1.3,1.5
Inventory,,,,,,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,6.6353,4.7037,4.5682,4.4228,4.245,0.0055,3.9193,3.3426
Total_Assets,12.4,5.7,5.6,2.2,1.9,1.6,1.6,1.8
Total_Liabilities,3.1,4.0,4.4,2.6,2.4,2.7,2.7,3.4
