AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
Current_Assets,36.4,42.7,50.4,17.7,21.7,24.1,26.8,6.4,,,,,
Current_Liabilities,12.6,14.1,14.0,11.3,10.7,9.8,16.5,16.0,,,,,
Diluted_EPS,-0.199,-0.159,-0.16,-0.105,-0.172,-0.183,-0.141,-0.153,-0.287,-0.17600000000000002,-0.13699999999999998,-0.24600000000000002,-0.305
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,14.9,12.0,13.3,14.7,16.7,16.6,8.3,9.4,0.0,0.0,0.0,0.0,0.0
Revenue,7.3,7.0,6.6,5.6,5.2,4.8,4.5,4.2,7.7,4.0,4.0,3.7,6.5
Shares_Diluted,37.4161,37.396,34.0688,27.1239,27.0204,26.8611,26.8598,26.8598,,,,,
Total_Assets,40.6,46.3,51.7,19.1,23.0,25.4,27.9,8.5,,,,,
Total_Liabilities,29.4,28.1,28.0,26.3,27.6,26.4,24.8,30.7,,,,,
