AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,886.1,848.6,643.5,681.3,645.3,627.7,613.8,717.1,710.9,780.1
Current_Liabilities,119.0,110.3,114.2,113.9,101.6,106.1,97.3,128.0,118.9,139.9
Diluted_EPS,0.641,0.503,0.586,0.223,0.577,0.271,0.266,0.133,0.314,0.405
Goodwill_Intangibles,111.6,108.7,107.2,105.3,103.1,101.7,99.2,98.7,98.3,96.5
Inventory,60.6,61.0,61.1,55.0,54.6,62.1,69.8,71.5,70.9,76.9
LT_Debt,477.2,482.7,327.6,334.7,334.2,334.3,332.3,331.9,320.1,315.9
Revenue,128.7,127.0,145.8,107.1,108.4,105.2,108.7,95.5,108.9,136.2
Shares_Diluted,85.4408,84.3862,82.5631,82.7008,82.4956,82.9713,83.51,83.6279,85.2351,84.3716
Total_Assets,1068.8,1014.3,810.6,851.2,817.3,788.2,766.4,932.4,910.0,915.6
Total_Liabilities,633.5,628.8,473.2,479.7,467.2,470.7,460.4,492.8,471.7,490.4
