AAII_QTR_DATA,03/27/2021,09/26/2020,03/28/2020,09/28/2019,03/30/2019,09/29/2018,03/31/2018,09/23/2017,03/25/2017,09/24/2016
Current_Assets,86.9,88.6,88.1,88.9,78.5,77.5,77.3,142.1,124.1,121.8
Current_Liabilities,89.2,89.0,93.1,89.9,72.5,66.0,59.2,139.0,106.3,102.7
Diluted_EPS,-0.133,-0.125,-0.364,-0.204,-0.35,-0.48,0.872,-0.246,0.319,-0.085
Goodwill_Intangibles,3.9,3.9,3.9,3.5,3.5,4.7,3.1,2.7,0.6,0.6
Inventory,78.0,80.0,81.3,81.1,73.0,70.7,67.7,57.4,109.5,109.3
LT_Debt,18.4,18.8,12.9,11.5,12.9,11.5,3.9,4.2,25.3,34.1
Revenue,68.6,45.5,67.1,68.0,65.6,54.8,65.0,51.9,51.1,42.0
Shares_Diluted,18.039,17.971,17.971,17.965,17.961,17.961,17.961,17.961,17.961,17.961
Total_Assets,160.9,164.3,168.0,169.7,106.7,102.2,95.9,156.2,148.3,145.1
Total_Liabilities,162.0,163.8,165.3,160.3,95.7,84.8,70.0,148.9,137.7,140.5
