AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,118.1,118.7,125.9,130.5,127.4,116.5,114.7,127.8,46.3,26.5,24.1,32.1,29.1,39.2,37.6,38.3
Current_Liabilities,33.3,35.0,40.4,35.8,31.3,16.4,15.6,8.4,7.5,25.5,7.7,4.9,3.1,2.7,1.9,2.1
Diluted_EPS,-1.709,-0.168,-0.342,0.002,0.19,-0.034,-0.065,-0.036,-0.703,1.062,-0.593,0.405,0.173,-1.0270000000000001,-1.4880000000000002,0.049
Goodwill_Intangibles,301.3,374.0,376.9,378.9,344.4,88.6,89.5,53.4,54.1,54.8,55.6,44.8,14.0,,0.0,
Inventory,33.3,30.2,28.3,29.7,25.9,11.7,11.6,11.0,10.9,10.8,11.0,5.7,5.3,4.1,3.5,2.9
LT_Debt,6.4,6.6,6.6,6.5,5.4,1.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,40.5,36.2,37.3,33.8,31.2,16.8,14.7,11.3,9.9,12.2,8.3,6.6,6.7,5.8,5.5,5.3
Shares_Diluted,42.4602,42.0141,41.7101,43.2965,40.3901,33.2368,32.9699,31.6394,23.2926,21.0108,20.626,25.3431,24.5393,18.6484,18.4388,23.6566
Total_Assets,470.4,544.0,554.1,559.4,521.0,240.0,234.8,195.9,114.0,95.0,92.8,84.2,51.7,48.1,45.5,46.4
Total_Liabilities,58.1,65.5,73.9,70.1,68.7,31.2,29.6,9.0,8.1,27.3,49.4,7.3,5.5,3.7,30.8,2.5
