AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,69.3,66.3,71.8,67.2,72.3,72.1,78.8,82.8
Current_Liabilities,45.2,44.0,50.6,44.8,49.5,49.6,43.6,48.8
Diluted_EPS,0.068,0.021,0.025,0.009,0.011,0.034,-0.044,0.022
Goodwill_Intangibles,5.6,5.7,5.7,5.8,5.9,6.0,6.1,6.3
Inventory,0.8,0.8,0.9,0.9,1.0,1.0,0.9,0.9
LT_Debt,6.4,6.7,15.2,15.5,15.6,16.5,17.4,17.3
Revenue,26.1,25.0,27.6,24.2,28.1,31.5,30.8,28.1
Shares_Diluted,19.9115,17.3286,13.2515,12.1265,12.7509,13.0927,13.2516,13.2516
Total_Assets,91.2,88.8,94.5,88.8,94.2,94.9,89.9,95.2
Total_Liabilities,56.1,55.2,70.4,65.0,69.8,70.7,65.5,70.5
