AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/30/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,12/30/2019,09/30/2019,06/30/2019,03/31/2019,12/30/2018,09/30/2018
Current_Assets,9.8,11.3,9.5,6.7,8.4,7.7,5.9,5.1,5.2,7.9,9.2,8.4,8.6,8.2
Current_Liabilities,7.8,8.7,7.5,4.9,6.3,6.9,6.3,4.7,4.8,6.7,10.0,7.0,5.1,5.0
Diluted_EPS,0.026,0.088,-0.051,-0.154,0.112,0.064,-0.1,-0.142,-0.145,-0.023,0.035,-0.196,-0.009000000000000001,0.063
Goodwill_Intangibles,1.9,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.8,2.0,1.9,1.8,0.4
Inventory,6.4,6.3,5.2,4.0,4.8,4.5,3.6,3.2,3.3,5.3,5.4,5.3,4.1,4.6
LT_Debt,6.3,6.8,7.1,5.9,6.1,6.4,6.5,3.1,3.2,3.4,1.1,3.7,3.7,3.7
Revenue,10.1,10.7,8.3,8.0,10.0,9.3,6.9,7.3,7.4,8.9,11.0,6.8,9.2,10.3
Shares_Diluted,7.197,6.982,6.968,6.9671,7.1631,6.9816,6.9816,6.9816,6.9816,6.9816,7.0188,6.9816,6.9816,6.9816
Total_Assets,44.3,45.6,44.1,40.6,43.9,43.5,42.2,38.1,38.9,42.9,46.2,44.6,43.4,40.4
Total_Liabilities,16.7,18.3,17.2,13.4,15.5,16.1,15.3,10.6,10.9,13.3,15.3,15.2,13.9,12.3
