AAII_QTR_DATA,12/25/2021,09/25/2021,06/26/2021,03/27/2021,12/26/2009,09/26/2009,06/27/2009,03/28/2009,12/27/2008,09/27/2008,06/28/2008
Current_Assets,60.6,57.8,57.5,60.3,,,,,,,
Current_Liabilities,11.2,7.4,7.0,10.4,,,,,,,
Diluted_EPS,-1.09,0.09,0.126,3.329,0.582,0.312,-0.149,-0.025,-0.008,0.2,0.055999999999999994
Goodwill_Intangibles,3.2,3.1,3.2,3.1,,,,,,,
Inventory,19.7,16.5,16.0,16.0,,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,16.6,15.6,15.4,13.6,14.2,12.3,10.9,11.6,15.0,14.1,13.3
Shares_Diluted,1.9865,1.9778,1.9863,1.9863,2.5285,2.116,2.116,2.0563,2.036,2.1969,2.2156
Total_Assets,70.1,68.6,68.3,71.6,,,,,,,
Total_Liabilities,11.5,7.8,7.6,11.1,,,,,,,
