AAII_QTR_DATA,04/30/2022,01/29/2022,10/30/2021,07/31/2021,05/01/2021,01/30/2021,10/31/2020,08/01/2020,05/02/2020,02/01/2020,11/02/2019,08/03/2019,05/04/2019,02/02/2019,11/03/2018,08/04/2018
Current_Assets,933.6,836.5,862.7,807.4,757.1,782.6,872.2,930.0,1009.8,882.3,901.6,1053.8,887.3,976.4,1044.2,1034.2
Current_Liabilities,1069.9,1025.6,1070.1,978.7,865.9,905.5,959.9,1017.9,1077.5,851.0,894.2,1082.1,911.3,853.3,877.0,596.4
Diluted_EPS,1.322,0.881,1.539,1.127,0.161,-2.105,0.379,-10.164,-8.948,0.012,0.688,0.84,0.219,-1.786,0.6729999999999999,0.546
Goodwill_Intangibles,224.5,227.5,230.6,233.8,236.9,255.6,267.1,270.4,273.6,555.8,542.8,546.1,548.5,566.3,653.9,
Inventory,643.5,596.8,543.2,565.5,445.3,488.0,507.4,574.8,585.3,618.4,644.6,792.1,648.1,683.2,698.3,715.7
LT_Debt,0.0,0.0,0.0,99.5,199.0,198.9,198.7,198.6,198.5,198.4,198.3,198.2,198.0,197.9,197.8,197.7
Revenue,735.1,679.3,784.2,1314.2,638.6,571.0,647.5,898.6,397.2,698.9,792.4,1430.2,677.8,720.3,775.8,706.6
Shares_Diluted,36.676,37.023,37.346,37.2325,36.865,36.563,36.73,36.9965,38.649,39.292,39.313,39.6765,40.205,41.15,42.106,42.081
Total_Assets,1928.3,1843.9,1874.6,1832.9,1802.8,1867.1,2027.1,2112.4,2223.7,2431.7,2471.2,2644.4,2493.1,1838.6,2008.4,1693.6
Total_Liabilities,1576.1,1525.4,1573.5,1592.2,1600.0,1666.8,1770.4,1870.2,1941.4,1785.8,1820.4,2021.0,1865.8,1204.5,1242.6,957.8
