AAII_QTR_DATA,07/02/2021,03/31/2021,12/31/2020,09/30/2020,06/26/2020,12/31/2019,09/30/2019,06/28/2019,12/31/2018,09/28/2018,06/29/2018,03/30/2018
Current_Assets,6790.8,,4605.5,,4290.3,3506.1,,4138.9,3646.6,4380.4,4469.4,3945.3
Current_Liabilities,7481.1,,4677.8,,4544.5,4649.6,,4914.0,4623.2,4325.3,4381.0,3835.8
Diluted_EPS,0.603,,0.918,,0.313,1.42,,1.209,0.338,0.856,0.7070000000000001,0.294
Goodwill_Intangibles,19530.5,,12351.0,,12326.2,12458.4,,12330.7,13291.7,12774.1,12818.1,12848.7
Inventory,1396.6,,769.5,,898.3,816.9,,1067.8,844.9,876.1,959.8,911.5
LT_Debt,13339.7,0.0,7211.1,0.0,7167.0,6352.4,0.0,6413.4,6250.8,6153.7,6228.9,6416.1
Revenue,6686.8,2590.9,6518.5,3592.0,5465.4,7022.4,3708.4,6555.7,3406.4,3857.3,3600.2,2800.6
Shares_Diluted,457.0,,457.8364,,454.1636,463.2337,,474.7664,482.875,490.411,488.3333,496.0
Total_Assets,32959.5,,21736.1,,21539.5,21112.4,,21570.0,22208.9,21766.0,21927.6,21412.9
Total_Liabilities,25536.0,,14928.4,,14949.8,14156.6,,14412.0,14206.1,13746.4,13883.9,13548.3
