AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1701.9,1661.7,1600.5,1587.3,1510.1,1509.2,1481.8,1475.5,1488.3,1410.8,1345.2,1767.5,1677.1,1594.5,1532.6
Current_Liabilities,336.9,321.0,252.3,199.8,184.0,235.7,309.9,271.4,266.6,216.6,239.1,682.5,657.4,670.6,716.5
Diluted_EPS,0.078,0.022,-0.141,-0.072,-0.01,0.156,-0.119,-0.104,-0.038,0.253,-0.027000000000000003,-0.047,-0.037000000000000005,0.309,0.053
Goodwill_Intangibles,39.0,39.8,40.5,41.4,42.4,43.3,43.9,45.7,48.9,47.2,48.9,51.8,51.5,50.2,49.6
Inventory,312.3,317.8,339.4,393.2,429.6,527.9,550.7,524.9,271.4,250.4,421.9,580.5,507.9,358.1,407.7
LT_Debt,776.3,773.0,777.2,777.7,778.1,778.6,781.7,782.2,787.3,788.2,804.7,836.7,803.3,762.6,745.3
Revenue,308.8,360.4,280.3,278.7,225.0,427.1,294.0,407.6,269.8,682.7,241.8,321.5,236.9,636.4,364.9
Shares_Diluted,399.82,398.018,397.792,397.671,397.036,395.865,395.841,395.813,395.798,396.832,395.798,395.798,395.797,395.793,396.051
Total_Assets,5808.0,5833.2,5749.3,5774.3,5761.4,5882.1,5871.2,5851.8,5807.1,5798.9,5996.0,6686.8,6333.8,6138.9,5902.2
Total_Liabilities,2016.2,2073.2,1978.7,1942.5,1901.5,2034.8,2089.1,2036.2,1974.1,1899.2,2084.4,2596.6,2383.7,2316.2,2284.5
