AAII_QTR_DATA,09/26/2020,06/27/2020,03/28/2020,12/28/2019,09/28/2019,06/29/2019,03/30/2019,12/29/2018,09/29/2018
Current_Assets,1736.5,1639.8,1399.5,1169.3,1049.9,979.2,917.9,951.1,888.4
Current_Liabilities,1117.9,1151.9,1012.4,672.4,619.0,610.2,631.4,709.0,541.3
Diluted_EPS,0.577,0.47,0.444,2.359,0.362,0.382,0.43,0.351,0.353
Goodwill_Intangibles,1008.6,1021.4,1037.6,834.2,846.7,860.6,875.2,887.7,899.7
Inventory,48.0,43.9,60.6,55.8,66.7,49.3,37.5,28.2,30.5
LT_Debt,346.6,346.4,346.2,346.0,345.8,345.7,345.5,345.3,345.1
Revenue,666.6,638.4,618.0,599.6,579.6,580.4,576.7,569.9,532.5
Shares_Diluted,280.024,279.08,279.265,279.609,280.666,281.054,280.615,280.403,281.64599999999996
Total_Assets,4140.2,3999.5,3768.0,3357.2,2662.2,2612.3,2546.3,2468.7,2273.2
Total_Liabilities,1744.4,1742.9,1610.0,1254.3,1181.9,1181.8,1180.5,1180.3,1015.8
