AAII_QTR_DATA,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,7059.6,7168.0,7173.9,6662.6,7689.6,7390.7,7187.7,6693.2
Current_Liabilities,5622.9,6049.2,6181.4,5583.7,6861.2,6258.3,6253.9,5934.2
Diluted_EPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Goodwill_Intangibles,,,,243.6,272.9,166.3,28.6,167.8
Inventory,2818.8,3668.6,3368.9,2854.3,3338.3,3554.8,3184.4,2768.6
LT_Debt,1764.4,1732.1,1725.8,1749.9,1750.2,1744.5,1740.0,1762.7
Revenue,7241.0,6598.2,7621.5,8434.7,8497.9,6483.5,8484.3,8584.0
Shares_Diluted,,,,,,,,
Total_Assets,16827.2,17022.6,17214.3,16447.5,17573.5,16936.2,16853.8,16381.2
Total_Liabilities,8055.4,8407.2,8600.0,7837.4,9170.2,8542.3,8571.0,8225.6
