AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,4765.0,5759.0,6471.0,3388.0,3340.0,3751.0,2730.0,2729.0
Current_Liabilities,9142.0,13215.0,12385.0,11982.0,9875.0,11950.0,12095.0,11850.0
Diluted_EPS,3.632,1.861,3.258,1.74,1.39,1.112,1.287,2.11
Goodwill_Intangibles,103785.0,104263.0,104771.0,105285.0,105788.0,106335.0,106914.0,107483.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,77663.0,74787.0,75636.0,71441.0,71881.0,70665.0,69537.0,69135.0
Revenue,11696.0,11738.0,11761.0,11450.0,11347.0,11206.0,11231.0,10892.0
Shares_Diluted,210.9069,212.8106,219.1316,222.3559,225.9422,227.5954,230.0691,233.6074
Total_Assets,145136.0,146552.0,148188.0,145267.0,146085.0,147257.0,146130.0,146085.0
Total_Liabilities,115780.0,116924.0,116743.0,112293.0,110799.0,111523.0,109845.0,108980.0
