AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,53.3,63.0,0.5,0.3,0.4,0.5,0.5,0.5,0.7
Current_Liabilities,4.1,11.7,3.4,2.3,2.0,1.4,0.8,0.2,0.2
Diluted_EPS,-0.655,-1.101,-0.225,-0.103,-0.227,-0.084,-0.054,-0.073,-0.047
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.4,0.2,,,,,,,
LT_Debt,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.2,0.2,,,0.1,,,,
Shares_Diluted,60.6709,17.504,2.1499,2.1353,17.3575,2.2778,2.0487,2.0487,1.9926
Total_Assets,58.5,68.2,26.1,25.6,49.3,48.8,48.2,47.5,47.3
Total_Liabilities,94.6,67.9,4.8,3.7,3.8,3.3,2.6,2.0,2.0
