AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,2.6,4.1,7.9,12.9,19.0,15.2,17.3,25.0,29.1,39.6,38.3,43.8,52.0,63.5,71.7,79.3,87.0,95.5,103.0
Current_Liabilities,4.2,1.7,4.2,4.5,9.5,4.9,5.1,7.2,6.3,6.9,7.9,4.6,5.6,7.2,5.8,5.0,4.7,7.0,6.9
Diluted_EPS,-1.092,-0.585,-1.272,-0.533,-1.337,-1.843,-1.96,-1.292,-0.27,-0.369,-0.285,-0.33,-0.335,-0.369,-0.325,-0.287,-0.226,-0.26,-0.231
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,,,,,,0.0,1.7,2.5,4.5,1.4,6.0,5.3,3.2,2.6,2.4,0.1,0.4,,
LT_Debt,0.0,0.0,0.0,0.0,0.1,17.5,17.6,17.7,19.3,19.4,19.5,19.6,18.2,18.2,18.3,18.3,18.2,18.2,17.4
Revenue,,0.0,0.0,0.0,0.0,1.9,7.8,11.9,4.4,13.9,5.2,2.3,2.4,3.8,3.0,0.4,0.2,0.0,0.0
Shares_Diluted,4.9407,4.847,4.6784,4.6663,4.202,3.8286,3.728,3.7199,37.1363,36.3005,33.2003,33.0393,32.9881,32.9452,32.8665,32.733000000000004,32.6779,32.6109,32.381
Total_Assets,20.3,22.4,26.7,32.0,38.3,37.2,39.5,47.8,52.4,63.3,62.5,68.0,76.4,88.1,96.4,103.6,110.7,118.8,124.6
Total_Liabilities,17.6,15.2,17.9,18.3,23.4,23.1,23.7,25.9,26.8,26.5,27.6,24.4,23.9,25.6,24.3,23.4,23.0,25.4,24.4
