AAII_QTR_DATA,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
Current_Assets,240.3,253.5,208.6,195.7,195.1,186.5,182.5,164.5,146.1,144.0,134.6,117.3
Current_Liabilities,477.9,472.9,445.3,417.5,393.7,378.9,357.0,339.9,313.5,284.4,254.7,234.8
Diluted_EPS,0.055,0.217,0.216,0.226,0.354,-0.026,-0.044,-0.254,-0.496,-1.035,-0.67,-0.531
Goodwill_Intangibles,3.6,3.8,1.9,2.0,2.0,2.2,2.1,2.1,2.3,2.4,2.4,
Inventory,0.2,0.3,0.3,0.2,0.1,0.0,0.1,0.0,0.1,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,11.5,0.0
Revenue,94.1,83.8,84.4,77.3,76.3,61.6,64.0,55.2,48.9,45.0,45.7,41.1
Shares_Diluted,22.81,22.9589,22.9472,22.6972,22.4602,20.7396,20.589,20.4972,20.4028,20.3888,20.3484,20.281
Total_Assets,351.7,346.2,314.4,282.1,245.2,219.6,199.8,179.8,160.9,152.4,144.1,126.7
Total_Liabilities,487.7,482.0,450.6,422.5,398.8,383.6,362.7,343.8,317.8,297.6,270.0,237.9
