AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1716.6,1390.9,965.6,929.3,987.5,664.1,438.5,449.8,466.4,496.7
Current_Liabilities,94.3,84.1,74.5,55.1,57.1,79.8,31.4,28.4,27.7,32.3
Diluted_EPS,-1.501,-1.318,-1.297,-1.146,0.507,2.403,-1.01,-0.929,-0.92,-1.07
Goodwill_Intangibles,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.4,0.1,0.0,0.2,77.0,211.9,0.3,0.3,0.1,0.6
Shares_Diluted,71.321,70.1435,61.4207,60.8477,60.2669,57.5989,53.188,52.0932,51.7293,47.391999999999996
Total_Assets,1828.0,1485.0,1046.5,1007.3,1066.8,720.6,494.2,497.9,489.0,518.9
Total_Liabilities,163.7,141.7,135.9,121.2,127.3,128.7,126.6,118.1,96.8,101.6
