AAII_QTR_DATA,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018
Current_Assets,23.9,25.1,23.1,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,48.2,49.1,51.2,1.1,0.9,0.7,0.6,0.4,0.4
Diluted_EPS,0.0,0.003,-0.007,-0.02,-0.001,-0.001,0.0,0.0,0.0
Goodwill_Intangibles,24.2,23.0,23.1,,,,,,
Inventory,7.4,7.4,,,,,,,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,3.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,284.28,284.28,205.0713,221.0879,220.55,137.6554,176.413,105.0,87.3913
Total_Assets,52.7,52.7,50.8,0.1,0.1,0.0,0.0,0.0,0.0
Total_Liabilities,48.1,49.0,51.2,1.1,0.9,0.7,0.6,0.4,0.4
