AAII_QTR_DATA,01/28/2023,10/29/2022,07/30/2022,04/30/2022,01/29/2022,10/30/2021,07/31/2021,05/01/2021,01/30/2021,10/31/2020,08/01/2020,05/02/2020,02/01/2020,11/02/2019,08/03/2019,05/04/2019,02/02/2019,11/03/2018,08/04/2018
Current_Assets,2071.8,2515.4,1930.1,2354.3,1914.7,2376.8,2005.8,2108.8,1661.9,1827.4,1546.1,1779.7,1848.1,2180.0,1867.9,2094.9,1770.5,2288.0,1854.2
Current_Liabilities,859.0,1356.2,946.0,1318.7,966.2,1297.4,894.0,1089.0,772.9,1060.4,831.2,1071.9,930.8,1330.9,1006.2,1179.3,933.5,1533.1,1084.2
Diluted_EPS,16.889,10.964,9.296,13.683,16.609,9.813,8.808,7.247,3.047,1.431,-0.37,-6.936,2.747,0.219,-1.59,2.987,3.215,0.272,-0.104
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Inventory,1120.2,1644.8,1193.4,1365.0,1080.2,1525.9,1112.8,1306.5,1087.8,1545.3,1283.1,1570.3,1465.0,1970.0,1603.0,1832.6,1528.4,2043.7,1603.3
LT_Debt,521.4,521.3,521.3,521.3,521.2,566.0,565.9,565.9,565.8,566.0,566.1,566.3,566.4,566.7,567.0,567.2,567.2,567.5,567.8
Revenue,2162.5,1573.1,1617.9,1642.8,2153.4,1511.9,1601.4,1357.5,1614.3,1052.1,945.2,821.6,1962.8,1423.7,1458.8,1497.9,2056.3,1455.0,1500.7
Shares_Diluted,17.123,17.139,17.583,18.351,19.341,20.109,21.079,21.837,21.998,22.264,23.174,23.354,24.644,24.913,25.584,26.315,26.484,27.309,27.607
Total_Assets,3329.2,3792.6,3221.6,3658.8,3245.6,3740.2,3383.5,3507.7,3092.5,3306.0,3083.2,3342.3,3430.3,3800.1,3512.1,3779.0,3431.4,3986.6,3582.6
Total_Liabilities,1730.5,2183.3,1772.6,2146.5,1794.3,2176.0,1773.9,1970.0,1651.5,1925.2,1711.9,1945.9,1807.0,2187.7,1866.2,2042.1,1753.0,2361.3,1908.2
