AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,0.2,0.4,0.6,0.8,0.9,1.0,1.4,0.2,0.0
Current_Liabilities,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.6,0.0
Diluted_EPS,0.077,0.06,0.029,0.004,-0.007,-0.009,-0.008,0.0,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,31.89,31.89,31.89,31.89,31.89,31.89,31.89,31.965,28.14
Total_Assets,256.5,254.0,252.1,251.2,251.1,251.2,251.4,0.6,0.0
Total_Liabilities,7.9,7.9,7.8,7.9,7.9,7.8,7.8,0.6,0.0
