AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019,09/30/2019,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
Current_Assets,18.2,17.6,15.9,21.1,15.6,,,9.3,9.8,,,8.2,7.6
Current_Liabilities,17.3,17.8,16.0,21.8,14.0,,,12.4,12.8,,,17.4,17.9
Diluted_EPS,0.042,0.012,0.084,0.043,0.016,0.04,0.025,71.667,68.171,-68.1,-22.259,-58.92100000000001,-155.35399999999996
Goodwill_Intangibles,12.0,12.2,12.5,12.8,8.9,,,5.3,5.3,,,5.3,5.3
Inventory,1.2,1.1,1.0,0.9,0.9,,,0.4,0.3,,,0.3,0.2
LT_Debt,0.2,0.2,0.2,1.4,0.7,0.0,0.0,0.4,1.2,0.0,0.0,0.0,0.0
Revenue,18.2,15.2,16.1,18.3,11.1,12.1,11.9,8.7,22.4,8.1,6.3,7.3,26.5
Shares_Diluted,14.459,14.784,15.788,13.8817,13.8817,,,0.012,0.012,,,0.025,0.025
Total_Assets,34.9,34.8,33.5,39.4,28.4,,,15.6,16.0,,,14.6,14.1
Total_Liabilities,20.8,21.4,20.3,27.5,17.1,,,13.8,15.1,,,19.1,19.6
