AAII_QTR_DATA,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018
Current_Assets,203.1,174.1,141.6,112.4,100.2,82.1,76.6,80.8,72.2,75.4,77.7
Current_Liabilities,104.3,92.6,92.3,89.0,88.9,91.1,87.6,86.2,70.4,68.1,70.7
Diluted_EPS,0.2,0.155,0.123,0.129,0.136,0.113,0.104,0.094,0.10099999999999999,0.10099999999999999,0.109
Goodwill_Intangibles,805.2,775.5,789.9,778.2,780.6,794.6,800.6,764.6,554.4,563.0,
Inventory,0.4,0.4,0.3,0.2,0.4,0.2,0.2,0.1,0.1,0.1,0.1
LT_Debt,0.0,0.0,0.0,9.7,0.0,9.3,22.8,242.7,25.5,50.6,58.8
Revenue,93.4,87.5,84.0,83.7,84.2,83.0,80.5,78.0,71.0,70.0,67.1
Shares_Diluted,85.957,85.917,85.753,85.456,84.182,85.342,82.245,78.273,77.863,77.863,77.781
Total_Assets,1063.3,1003.8,988.4,947.0,942.6,942.5,940.1,903.5,653.3,665.1,666.0
Total_Liabilities,152.2,133.0,132.5,129.5,120.9,133.7,143.7,354.5,119.8,142.5,150.6
