AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,574.5,461.1,441.9,487.8,411.4,355.6,190.3,213.2,238.0,
Current_Liabilities,550.3,451.5,441.2,490.2,449.2,381.1,938.6,950.9,908.5,
Diluted_EPS,0.064,0.061,0.045,0.18,0.006,-1.58,-0.207,-0.106,-0.076,-0.138
Goodwill_Intangibles,1435.5,1447.4,1459.7,1673.9,1486.4,1500.0,1514.9,1529.2,1546.3,
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,451.4,480.9,510.5,510.0,540.2,569.8,1002.8,1011.8,1067.3,0.0
Revenue,182.9,168.6,155.5,150.6,143.3,129.4,122.6,116.2,114.7,101.9
Shares_Diluted,286.427,286.252,284.309,283.302,277.926,264.127,237.6931,289.3809,289.3809,
Total_Assets,2166.6,2056.2,2046.8,2046.9,1988.3,1932.8,1775.6,1811.4,1839.8,
Total_Liabilities,1106.8,1033.2,1058.3,1081.2,1089.1,1046.5,2213.2,2201.6,2195.9,
