AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,224.3,262.0,279.7,244.4,185.2,156.0,204.6,167.8,127.3,118.3,124.7,140.4,124.4,100.5,112.2,75.7,100.0,118.5,115.1
Current_Liabilities,121.0,129.0,135.7,136.5,135.1,123.6,165.9,149.9,92.2,82.4,89.2,87.8,92.5,102.2,80.5,73.8,76.9,63.0,53.3
Diluted_EPS,0.244,1.402,4.766,5.768,3.265,5.247,4.916,0.744,0.839,0.011,-1.086,-1.994,-0.344,-1.094,-0.4479999999999999,-0.588,0.003,0.634,0.25
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,22.9,28.1,26.3,25.2,27.8,17.7,17.1,15.9,14.7,11.6,11.7,10.1,15.4,15.8,14.3,13.0,13.1,16.1,13.3
LT_Debt,272.7,284.7,296.6,318.5,330.4,330.2,387.3,414.8,446.8,412.9,458.0,484.3,451.6,410.1,388.7,302.7,312.7,301.6,298.5
Revenue,105.2,151.4,185.3,198.7,184.4,184.7,183.4,129.9,96.6,75.2,68.2,57.4,74.4,71.5,74.1,69.4,77.4,86.7,69.1
Shares_Diluted,13.1482,16.596,16.2019,16.3765,16.2549,16.6741,15.9364,12.3972,11.7446,10.4163,10.2797,10.2779,10.267,10.2116,10.193,10.1929,10.296,10.2347,10.3369
Total_Assets,1209.8,1237.2,1256.0,1226.6,1162.6,1126.7,1162.7,1093.2,1020.6,967.1,995.0,1032.1,1026.5,1002.1,970.4,863.8,883.0,846.2,826.5
Total_Liabilities,398.1,418.0,436.8,461.1,468.8,455.4,555.0,566.9,539.7,496.7,548.7,575.1,549.1,520.6,478.6,388.3,402.8,366.6,354.0
