AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,9298.0,9500.0,9955.0,9486.0,9768.0,10997.0,10291.0,8795.0,8892.0,9233.0,8348.0,7022.0,7212.0,7160.0,6440.0,6249.0
Current_Liabilities,5815.0,5414.0,5762.0,5319.0,5298.0,5197.0,5420.0,4744.0,5179.0,5681.0,4953.0,4590.0,4605.0,4231.0,3776.0,3563.0
Diluted_EPS,0.144,1.535,2.973,1.881,2.763,1.236,2.372,1.424,-1.281,-0.017,1.519,1.614,0.426,1.507,1.5490000000000002,1.335
Goodwill_Intangibles,5949.0,6229.0,6455.0,6498.0,6711.0,3663.0,3825.0,3779.0,3739.0,3823.0,4262.0,3059.0,3071.0,3080.0,3144.0,3193.0
Inventory,2920.0,2830.0,2612.0,2633.0,2505.0,2134.0,2116.0,2204.0,2062.0,2087.0,2058.0,2055.0,2006.0,1814.0,1651.0,1681.0
LT_Debt,5144.0,5188.0,5259.0,5267.0,5537.0,5487.0,4913.0,4913.0,4914.0,4674.0,4662.0,2895.0,2896.0,2883.0,3373.0,3361.0
Revenue,3561.0,4245.0,5539.0,4392.0,3936.0,3864.0,4853.0,3562.0,2430.0,3345.0,4624.0,3895.0,3590.0,3744.0,4005.0,3524.0
Shares_Diluted,362.2,363.6,366.0,367.9,368.5,369.0,368.0,367.2,360.6,360.2,366.7,368.6,368.9,368.3,369.9,374.4
Total_Assets,20910.0,21359.0,22078.0,21580.0,21971.0,19900.0,19595.0,17903.0,17781.0,18363.0,17937.0,15431.0,13156.0,12931.0,12676.0,12543.0
Total_Liabilities,15320.0,15209.0,15860.0,15499.0,15914.0,14372.0,14174.0,13451.0,13846.0,14034.0,13363.0,10901.0,8770.0,8343.0,8370.0,8137.0
