AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,581.4,507.2,723.7,644.4,674.8,703.6,821.6,1036.1,1248.3
Current_Liabilities,502.0,430.1,522.5,647.1,710.8,709.2,835.8,1280.0,1576.7
Diluted_EPS,0.026,0.008,-0.587,-1.924,0.024,-0.033,-0.45,-0.338,0.042
Goodwill_Intangibles,1156.2,1187.1,1219.0,1434.5,2404.5,2435.4,2466.4,2683.8,2946.7
Inventory,81.7,58.6,19.0,57.8,68.5,72.8,73.4,74.2,155.1
LT_Debt,4650.0,4749.0,4954.8,4764.3,4688.3,4612.5,4475.6,4031.0,3835.9
Revenue,928.5,744.9,1156.1,1155.7,1408.0,1710.0,1779.2,2058.3,2114.3
Shares_Diluted,490.9,490.4,488.7,487.9,489.4,487.2,392.0,181.1,182.5
Total_Assets,8667.2,8718.8,9055.1,9335.8,10384.3,10393.0,10506.8,10694.1,11198.3
Total_Liabilities,6985.0,7012.9,7314.8,7211.3,7191.8,7080.3,7037.7,8965.2,9361.9
