AAII_QTR_DATA,01/01/2023,10/02/2022,07/03/2022,03/31/2022,01/02/2022,10/03/2021,07/04/2021,03/31/2021,01/03/2021,10/04/2020,07/05/2020,03/31/2020,12/29/2019,09/29/2019,06/30/2019,03/31/2019,12/30/2018,09/30/2018
Current_Assets,1870.2,1960.7,2012.2,1993.2,1843.5,1768.9,1699.8,1691.3,1684.1,1564.1,1524.9,1562.9,1522.4,1639.8,1519.9,1536.6,1604.8,1543.0
Current_Liabilities,670.0,672.5,655.4,738.1,622.1,604.8,604.7,677.0,605.6,566.9,543.3,600.3,594.0,565.6,598.9,612.9,550.6,453.8
Diluted_EPS,1.076,0.837,0.749,0.671,0.853,0.824,1.009,0.776,0.892,0.829,0.82,-0.036,0.637,1.4680000000000002,1.128,0.425,1.123,1.109
Goodwill_Intangibles,1041.4,1032.3,1067.6,1096.8,1106.0,1116.8,1136.5,1136.5,1146.2,1133.0,1127.3,1119.6,1201.4,1095.7,1111.3,1118.7,1129.7,480.7
Inventory,835.2,812.0,777.7,715.7,671.4,641.0,563.9,518.2,515.5,516.6,510.6,519.5,557.5,507.1,520.1,503.9,501.3,396.4
LT_Debt,1105.3,1295.9,1376.9,1243.2,1191.7,1076.3,1020.8,970.1,1054.7,1039.6,1080.9,1105.1,1088.3,1117.8,978.6,971.9,1087.3,599.7
Revenue,920.2,899.4,899.0,907.0,844.0,791.4,814.9,813.5,751.1,708.4,704.9,781.8,763.7,762.1,780.2,796.6,680.0,660.5
Shares_Diluted,41.2817,41.1676,41.3526,41.8433,42.4971,43.2558,43.5373,43.5877,43.2904,43.0875,42.9321,42.3123,42.839,42.7081,43.1184,43.5855,43.1026,42.7737
Total_Assets,3567.9,3624.2,3721.9,3736.6,3591.4,3517.5,3472.4,3462.8,3475.2,3333.2,3284.7,3301.7,3341.4,3290.8,3182.4,3118.2,3217.9,2478.6
Total_Liabilities,2040.1,2213.2,2286.8,2247.3,2087.3,1947.4,1908.8,1923.0,1947.7,1901.8,1923.1,2001.2,1975.3,1975.3,1889.5,1835.9,1908.8,1280.7
