AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
Current_Assets,175.2,182.1,190.9,197.6,203.0,209.4,75.9,80.3,37.7,41.2,46.8,54.3,5.3,9.1
Current_Liabilities,4.0,3.7,3.7,3.9,3.0,3.2,2.0,1.2,1.3,1.5,1.2,5.6,5.0,3.7
Diluted_EPS,-0.2,-0.247,-0.207,-0.199,-0.213,-0.355,-0.196,-0.166,-0.23600000000000002,-0.449,-0.222,-1.5130000000000001,-0.517,-0.5429999999999999
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.2
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,44.0597,44.0305,43.9898,43.1105,41.018,36.484,33.3435,27.3695,20.8246,20.822,20.7624,8.4334,6.3837,6.3111
Total_Assets,175.7,182.6,191.5,198.2,203.5,210.0,76.2,80.6,38.3,41.8,47.4,54.6,7.1,9.6
Total_Liabilities,4.1,3.9,3.9,4.2,3.8,4.6,2.1,1.3,1.4,1.5,1.3,5.6,6.5,5.9
