AAII_QTR_DATA,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
Current_Assets,23.2,15.4,13.1,11.7,6.5,6.2,2.2,2.5,2.7
Current_Liabilities,12.5,10.7,12.1,9.9,19.7,13.3,6.1,12.6,12.1
Diluted_EPS,0.238,0.151,-1.08,-0.225,-0.347,-0.125,-2.217,-0.28,-0.556
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,1.2,1.0,1.0,1.5,1.7,0.8,0.5,0.6,0.6
LT_Debt,6.8,6.6,7.6,9.5,8.4,0.6,8.3,0.1,0.2
Revenue,16.5,13.0,11.0,10.1,4.7,2.1,1.8,1.5,0.6
Shares_Diluted,23.2947,24.0185,7.9811,16.5607,15.1768,7.9548,6.2291,5.8673,5.3481
Total_Assets,64.1,52.8,50.1,46.6,43.1,17.1,11.2,22.8,23.1
Total_Liabilities,41.3,38.9,40.3,42.9,49.3,30.0,29.7,29.7,28.9
