AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,1.467,1.099,0.937,0.776,0.656,0.83,0.317,0.571,0.532,0.507,0.476,0.335,0.334,0.495,0.489,0.446,0.386,0.37,0.216
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Revenue,20.4,19.1,16.0,14.0,12.0,11.9,11.5,10.9,10.2,10.1,9.5,9.5,9.6,9.4,9.5,9.3,8.5,8.2,7.6
Shares_Diluted,8.3026,8.2965,8.2262,8.1844,8.1475,8.1072,7.948,7.886,7.8463,7.6572,7.576,7.5652,7.7765,7.8215,7.7983,7.7783,7.7407,7.7739,7.778
Total_Assets,1450.8,1395.6,1347.5,1309.7,1242.8,1178.8,1123.3,1058.1,998.3,936.7,880.9,851.9,821.5,798.0,759.7,732.5,720.1,663.9,645.6
Total_Liabilities,1280.1,1237.5,1199.0,1164.2,1099.4,1035.0,986.1,923.4,869.0,810.6,759.0,733.7,706.6,686.9,652.8,630.1,622.6,571.1,557.1
