AAII_QTR_DATA,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
Current_Assets,54.5,54.4,54.3,54.5,54.6,54.7,0.1
Current_Liabilities,0.2,0.1,2.0,2.0,1.9,1.9,0.1
Diluted_EPS,-0.001,-0.006,-0.024,-0.144,-0.017,-0.013,0.0
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,7.0511,7.0511,7.0511,0.8467,7.0511,7.0511,7.0511
Total_Assets,54.5,54.4,54.3,54.5,54.6,54.7,0.1
Total_Liabilities,2.1,2.1,2.0,2.0,1.9,1.9,0.1
