AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,6.9,6.7,5.7,5.5,7.9,5.9,6.8,8.3,9.2,7.2
Current_Liabilities,11.3,11.9,9.2,9.3,11.7,10.2,10.2,10.8,10.3,10.1
Diluted_EPS,-0.093,0.149,-0.003,-0.174,-0.046,-0.163,-0.266,-0.085,-0.301,-0.701
Goodwill_Intangibles,4.3,4.3,4.3,4.3,4.2,4.3,4.3,4.3,4.3,4.4
Inventory,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,
LT_Debt,0.8,0.0,3.1,3.0,2.9,2.9,2.7,2.7,3.1,2.5
Revenue,3.7,4.4,3.5,3.2,4.1,4.0,4.0,4.5,4.8,4.1
Shares_Diluted,5.9227,7.3931,5.9198,5.9196,5.9396,5.9107,5.8792,5.888,1.4579,0.9794
Total_Assets,13.4,13.5,12.8,13.0,15.8,14.4,15.8,17.4,16.0,14.5
Total_Liabilities,15.1,15.0,15.9,16.4,18.5,18.2,18.9,19.3,17.0,17.1
