AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,602.0,558.0,654.0,1268.0,869.0,845.0,972.0,693.0,925.0,795.7
Current_Liabilities,1236.0,1229.0,1061.0,1330.0,1263.0,1181.0,1180.0,1112.0,1019.6,721.8
Diluted_EPS,-4.679,-7.052,-15.162,-1.718,-3.011,2.261,2.115,0.061,2.488,1.589
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,33.0,33.0,34.0,36.0,37.0,45.0,44.0,39.0,37.6,14.8
LT_Debt,5624.0,5656.0,5952.0,5677.0,5371.0,4761.0,4472.0,4670.0,4464.3,2332.4
Revenue,769.0,720.0,425.0,899.0,1104.0,975.0,1021.0,864.0,631.8,538.0
Shares_Diluted,157.952,157.833,157.829,158.291,161.762,162.78,165.019,165.061,123.256,98.818
Total_Assets,17619.0,18760.0,20337.0,23386.0,23531.0,23553.0,23171.0,22268.0,21595.7,9806.6
Total_Liabilities,8825.0,9208.0,9623.0,10560.0,10282.0,9503.0,9167.0,8495.0,7896.4,3873.2
