AAII_QTR_DATA,10/03/2020,07/11/2020,04/18/2020,12/28/2019,10/05/2019,07/13/2019,04/20/2019,12/29/2018,10/06/2018
Current_Assets,866.6,849.5,831.8,553.9,565.8,569.5,577.4,543.7,569.6
Current_Liabilities,516.3,538.1,504.9,528.1,521.9,494.9,495.1,400.3,401.4
Diluted_EPS,0.209,0.273,-0.027,0.01,0.205,0.251,0.311,0.098,0.187
Goodwill_Intangibles,1268.2,1275.4,1285.9,1295.5,1317.6,1324.4,1331.2,1340.3,1187.3
Inventory,197.0,194.0,203.8,194.5,197.2,190.2,190.2,187.7,183.2
LT_Debt,1024.9,1026.3,1087.4,882.2,895.4,910.3,957.4,990.6,814.1
Revenue,989.7,1025.9,1349.4,917.8,966.6,975.8,1263.9,880.7,923.4
Shares_Diluted,212.458,212.284,211.754,212.028,212.014,211.957,211.884,212.172,211.56400000000002
Total_Assets,3385.5,3398.8,3413.1,3177.8,3209.4,3219.8,3239.3,2845.5,2693.1
Total_Liabilities,2034.0,2062.3,2092.5,1914.3,1916.1,1925.5,1971.4,1587.3,1415.6
