AAII_QTR_DATA,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.644,0.67,0.934,0.264,0.943,0.622,0.431
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,28.4,28.4,28.3,0.0,0.0,0.0,0.0
Revenue,20.8,19.3,19.2,20.7,18.4,18.3,17.0
Shares_Diluted,17.1232,14.6678,11.007,,,,
Total_Assets,2434.5,2327.9,2150.7,,,,
Total_Liabilities,2207.9,2109.6,2019.4,,,,
