AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current_Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diluted_EPS,0.541,0.412,0.199,0.369,0.983,0.597,0.674,0.6,1.464,1.387,2.128,2.17,-0.089,0.481,0.745,1.85,1.497,1.236,1.152
Goodwill_Intangibles,75.6,76.2,77.8,79.7,79.0,70.0,64.9,62.7,60.3,46.2,36.5,11.1,11.2,11.2,11.3,11.3,11.4,11.4,11.6
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,50.3,95.5,88.2,50.2,50.2,19.9,19.9,19.8,19.8,19.8,19.8,19.8,19.8,19.7,19.7,19.7,19.7,19.7,19.7
Revenue,24.8,23.5,21.2,18.5,15.8,15.8,16.2,16.2,16.8,16.0,15.8,14.7,13.6,13.7,13.8,13.1,12.3,11.8,11.4
Shares_Diluted,6.8815,6.9721,7.0675,7.1453,7.1562,7.2072,7.196,7.179,7.1643,7.1542,7.1146,7.1004,7.0673,7.1483,7.1403,2.3736,2.36,2.3715,2.3811
Total_Assets,2239.6,2196.9,2093.7,2006.7,1801.9,1764.6,1721.4,1758.6,1750.6,1872.9,1764.6,1661.3,1368.3,1292.6,1222.6,1229.0,1129.7,1074.0,1034.4
Total_Liabilities,2072.7,2036.8,1942.2,1837.5,1622.0,1580.4,1541.0,1580.9,1577.6,1707.2,1607.4,1518.9,1251.6,1168.8,1101.5,1114.0,1021.0,971.0,935.6
