AAII_QTR_DATA,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,06/30/2019,12/31/2018,06/30/2018
Current_Assets,68.5,70.4,163.5,70.2,72.8,18.0,18.8,17.0,13.8,9.2
Current_Liabilities,28.6,25.7,17.3,15.2,15.2,9.1,10.3,12.3,9.7,2.9
Diluted_EPS,-0.065,-0.106,-0.749,-0.138,-0.33,0.018,0.086,0.008,-0.392,-0.042
Goodwill_Intangibles,207.7,204.7,7.1,6.0,5.4,5.0,10.3,4.9,6.8,5.5
Inventory,,,,0.4,0.8,0.8,0.9,0.0,1.2,0.0
LT_Debt,0.0,0.0,0.0,0.4,0.4,0.5,0.1,0.6,1.0,0.1
Revenue,34.6,27.8,35.2,10.3,8.3,7.7,30.0,11.3,14.0,4.6
Shares_Diluted,41.9319,41.9861,27.0061,29.5719,26.6242,26.2918,23.4204,88.218,19.6465,71.9423
Total_Assets,283.9,279.0,173.2,78.0,79.9,24.5,26.2,23.1,22.6,15.3
Total_Liabilities,31.3,28.5,17.7,15.6,15.6,9.6,11.0,12.9,10.6,3.1
