AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021
Current_Assets,0.4,1.6,1.4,16.2,15.4,15.9,30.9,28.6
Current_Liabilities,0.1,0.3,5.7,16.5,15.0,18.4,11.5,6.9
Diluted_EPS,-0.012,-3.99,-2.866,-13.574,0.689,4.376,-1.928,-2.776
Goodwill_Intangibles,2.2,2.2,2.1,0.0,6.6,6.6,10.9,10.8
Inventory,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,0.1,0.2,0.0,0.0,7.6,0.0,0.0,3.5
Shares_Diluted,1.8104,1.8415,1.4279,1.4279,1.4299,1.1933,1.3689,1.1559
Total_Assets,2.6,3.8,16.5,29.4,48.2,50.5,47.1,45.1
Total_Liabilities,0.1,0.3,5.7,16.5,15.1,18.5,11.5,6.9
