AAII_QTR_DATA,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,437.5,241.8,249.8,320.5,315.8,247.1,384.8,287.1,438.9,355.3
Current_Liabilities,459.3,425.6,662.5,381.4,437.5,309.2,306.8,268.2,669.4,303.9
Diluted_EPS,0.27,-0.03,-0.295,-0.669,-0.652,-0.199,-0.353,-0.167,0.139,0.193
Goodwill_Intangibles,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Inventory,7.6,10.4,8.8,11.0,8.2,7.7,8.2,11.9,7.8,7.2
LT_Debt,3714.1,3438.9,3098.8,3221.8,3087.5,3098.4,3059.9,2951.1,2507.3,2874.8
Revenue,192.6,156.7,158.9,165.9,182.3,165.6,154.3,166.5,188.6,158.4
Shares_Diluted,95.2282,95.1571,80.8471,80.706,80.8648,80.8614,80.8471,80.8256,80.8392,81.5368
Total_Assets,5856.8,5534.6,5442.0,5281.8,5223.2,5319.4,5302.4,5194.5,5174.8,5101.3
Total_Liabilities,5211.4,4911.9,4814.1,4664.5,4534.9,4538.1,4493.1,4343.9,4295.1,4187.9
