AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,1109.9,1286.8,1199.3,1226.7,1051.3,804.3,707.5,700.0,650.5,657.2,644.5,644.8,660.9,818.1,1056.4,1003.1,845.7,882.6,862.9
Current_Liabilities,626.4,678.5,630.4,642.7,710.9,653.6,529.6,499.6,465.9,432.8,363.1,324.4,320.5,397.5,601.8,729.0,485.8,499.1,450.5
Diluted_EPS,0.111,0.033,0.517,0.983,0.802,0.274,-0.537,0.011,-0.398,-0.821,-0.279,-0.072,-0.283,-0.428,-0.831,-0.241,-0.159,-0.349,-0.0069999999999999
Goodwill_Intangibles,253.1,141.5,127.2,124.6,218.1,130.3,119.4,117.3,55.6,50.5,48.6,75.4,80.1,81.0,93.7,266.9,272.9,254.7,260.3
Inventory,417.0,500.1,511.6,403.0,362.3,289.8,284.5,239.8,228.1,246.5,311.3,305.4,287.3,354.1,479.9,504.5,451.8,457.0,554.7
LT_Debt,332.0,359.4,342.7,398.3,419.0,418.6,420.4,403.9,364.3,365.9,390.6,451.3,470.9,505.4,490.4,361.4,540.6,528.0,531.5
Revenue,400.9,448.6,593.2,840.8,715.3,569.8,429.2,418.5,361.4,320.5,262.7,250.0,311.2,376.6,381.7,409.5,447.4,591.1,524.4
Shares_Diluted,189.629,188.9007,188.85,188.538,188.583,187.4766,179.849,169.298,169.291,169.2941,169.261,169.25400000000002,169.24900000000005,169.2426,169.123,169.123,169.123,169.7271,171.935
Total_Assets,1906.8,1957.8,1862.3,1905.0,1845.2,1523.3,1420.3,1426.6,1319.2,1347.1,1426.3,1481.6,1533.3,1734.4,1961.3,2109.2,2083.8,2123.8,2180.3
Total_Liabilities,1248.3,1201.0,1161.9,1267.3,1369.7,1203.3,1138.4,1127.1,1020.2,981.4,942.8,961.7,1008.2,1132.1,1297.0,1293.1,1228.7,1239.4,1193.0
