AAII_QTR_DATA,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018
Current_Assets,1149.1,1165.6,1140.7,1125.5,824.7,813.7,802.6,802.6,779.4,733.8
Current_Liabilities,234.7,241.2,229.6,256.4,243.5,289.1,269.1,250.9,224.1,282.4
Diluted_EPS,0.513,0.454,0.396,0.55,0.887,0.623,0.589,0.596,0.579,0.4920000000000001
Goodwill_Intangibles,1954.0,1962.2,1862.7,1840.8,1858.0,1819.4,1825.0,1720.7,1699.6,1621.2
Inventory,462.9,463.2,473.1,457.8,441.3,420.3,416.3,410.3,406.3,401.6
LT_Debt,668.6,738.8,739.0,739.2,567.9,561.0,639.3,555.5,607.7,531.6
Revenue,417.9,426.2,386.4,468.1,506.3,541.5,532.3,515.6,466.1,476.9
Shares_Diluted,137.742,137.437,137.234,137.117,137.421,137.581,137.634,137.206,136.97799999999998,137.07399999999998
Total_Assets,3565.6,3547.7,3423.3,3364.8,3097.1,2969.2,2960.3,2853.6,2797.0,2653.4
Total_Liabilities,1516.7,1567.5,1501.5,1506.3,1318.5,1302.7,1344.3,1306.8,1307.5,1255.1
