AAII_QTR_DATA,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018
Current_Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Current_Liabilities,3.8,3.8,3.2,3.1,2.8,2.6,2.3,2.3,2.1,2.1,2.0,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.4
Diluted_EPS,-0.005,-0.015,-0.003,-0.01,-0.009,-0.01,-0.007,-0.016,-0.007,-0.009,-0.01,-0.009,-0.0069999999999999,-0.006,-0.005,-0.006,-0.015,-0.009,-0.074
Goodwill_Intangibles,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.2,0.1,0.0,,,,,,,,0.0
Inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Shares_Diluted,42.4441,42.3047,44.2715,42.2047,42.0853,40.9894,38.6664,38.6645,37.2293,36.3137,34.7409,33.2359,32.4875,32.4875,32.4875,32.4875,32.4875,32.4875,27.8334
Total_Assets,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Total_Liabilities,3.8,3.8,3.2,3.1,2.8,2.6,2.3,2.3,2.1,2.1,2.0,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.4
