AAII_QTR_DATA,12/31/2020,09/30/2020,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010
Current_Assets,0.1,0.0,15.4,10.7,,,,
Current_Liabilities,0.1,0.0,5.5,1.4,,,,
Diluted_EPS,-0.611,-0.002,0.014,0.004,-0.006,0.003,0.008,0.014
Goodwill_Intangibles,0.0,,1.1,1.1,,,,
Inventory,,,1.5,1.5,,,,
LT_Debt,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,1.9,1.9,1.9,2.6,1.5,1.9
Shares_Diluted,1.1983,9.7013,19.484,19.484,19.484,19.484,19.484,19.484
Total_Assets,0.2,0.0,22.5,17.9,,,,
Total_Liabilities,0.7,0.0,7.2,3.1,,,,
