AAII_QTR_DATA,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,141.6,162.4,174.3,178.3,170.0,168.6,157.7,156.7,153.6
Current_Liabilities,27.8,27.9,32.8,39.9,36.6,38.3,23.6,30.5,27.6
Diluted_EPS,-0.045,-0.132,0.033,-0.04,-0.044,0.099,0.138,0.098,0.14800000000000002
Goodwill_Intangibles,32.5,31.9,32.2,32.6,32.9,33.1,33.3,33.5,33.8
Inventory,89.3,106.0,109.4,114.1,105.9,106.3,95.3,94.3,86.5
LT_Debt,61.5,80.7,85.9,85.4,79.4,73.6,79.1,71.3,73.4
Revenue,70.2,66.8,83.5,82.3,85.4,85.3,85.3,87.9,90.1
Shares_Diluted,16.4804,16.4425,16.4363,16.3092,16.4434,16.5975,16.5771,16.6177,16.5632
Total_Assets,203.2,223.6,236.1,240.1,227.8,226.1,215.7,203.1,200.7
Total_Liabilities,101.3,120.8,131.6,136.5,123.8,120.7,112.3,102.4,101.8
