AAII_QTR_DATA,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,0.0,0.0,0.1,0.3,1.6,1.6,1.5,1.5,1.4,1.3,0.0,0.0,0.0,0.2,0.2
Current_Liabilities,1.7,1.5,1.6,1.6,2.1,1.3,1.4,1.3,0.5,0.2,0.3,0.5,0.2,0.0,0.0
Diluted_EPS,-0.008,-0.021,-0.013,-0.053,-0.066,-0.022,-0.151,-0.122,-0.027000000000000003,-0.04,-0.027999999999999997,-0.111,-0.037000000000000005,-0.01,-0.012
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,,,,0.0,0.4,1.4,1.4,0.5,,,,,,0.0,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,0.0,0.0,0.0,2.2,0.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shares_Diluted,25.6041,23.2652,21.9349,16.6582,17.4542,16.1943,15.5627,14.2089,13.4313,12.7373,11.1649,9.254,14.0864,14.0864,14.0864
Total_Assets,0.0,0.0,0.1,0.3,1.6,1.6,1.5,1.5,1.4,1.3,1.0,0.9,0.7,0.6,0.4
Total_Liabilities,1.7,1.5,1.6,1.6,2.1,1.3,1.4,1.3,0.5,0.2,0.3,0.5,0.2,0.0,0.0
