AAII_QTR_DATA,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,138.8,152.4,172.5,181.1,190.3,37.4,72.3,94.7,93.1,112.0,71.4,90.0,0.1,0.3,0.4,0.4,0.5,0.6,0.8
Current_Liabilities,9.2,12.0,17.4,15.6,15.3,31.3,31.7,32.4,28.9,21.7,30.3,21.9,3.3,0.3,0.0,0.0,0.9,0.8,0.5
Diluted_EPS,-0.069,-0.07,-0.08,-0.046,-0.272,-0.782,-0.386,-0.141,-0.162,-0.326,-0.58,-2.707,-2.494,0.012,0.0279999999999999,0.032,0.0289999999999999,0.024,0.023
Goodwill_Intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventory,2.7,2.8,12.1,17.0,11.1,11.1,16.8,19.1,19.0,12.9,6.1,9.3,,,,,,,
LT_Debt,135.1,132.7,142.5,140.1,137.6,143.6,146.2,147.9,145.8,142.7,141.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,,11.5,8.8,3.8,9.2,24.0,31.7,36.0,19.0,16.0,12.3,7.6,11.1,,,,,,
Shares_Diluted,200.2707,200.2706,199.2071,197.1163,81.2015,60.4376,60.1144,59.9275,59.9013,70.1556,50.1601,18.396,13.8778,26.0,26.0,26.0,26.0,26.0,26.0
Total_Assets,235.3,249.0,272.4,282.2,293.4,142.3,195.3,220.0,222.9,232.6,173.2,192.7,71.9,215.7,215.1,214.3,214.4,213.5,212.6
Total_Liabilities,184.7,185.6,196.3,193.3,194.1,210.8,216.9,219.6,215.4,216.0,206.0,195.4,10.6,7.6,7.3,7.3,8.2,8.0,7.8
