AAII_QTR_DATA,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
Current_Assets,619.9,569.7,581.9,578.5,436.7,408.3,411.5,458.2
Current_Liabilities,214.0,201.6,214.1,215.4,202.0,182.4,181.7,177.1
Diluted_EPS,0.856,0.534,0.64,0.71,0.634,0.296,0.542,0.497
Goodwill_Intangibles,347.4,350.1,349.2,328.9,331.6,322.4,322.8,307.4
Inventory,69.1,73.6,74.6,63.5,64.0,60.7,61.2,51.5
LT_Debt,548.0,549.0,548.6,546.2,435.9,434.4,436.0,437.6
Revenue,393.9,397.3,401.2,396.4,371.8,342.1,353.1,349.0
Shares_Diluted,29.5842,29.931,29.9728,29.8771,29.8347,29.8067,30.3819,31.3128
Total_Assets,1131.1,1087.1,1099.5,1063.7,916.4,877.7,834.7,863.1
Total_Liabilities,858.3,841.3,849.4,836.2,710.4,687.1,652.2,648.8
